Brand,Price,Processor_brand,Threads,RAM_type,Storage_type,Graphics_brand,Graphics_integreted,Touch_screen,Operating_system,Log_Price,GPU_tier,RAM_tier,Storage_tier,Processor_gen_tier,Display_tier,ppi_tier,is_gaming,brand_tier,performance_score,display_quality
2,129990,2,14.0,5,2,2,1,0,5,11.775212803402065,4,2,0,2,2,3,0,1,42.0,5
4,108999,2,14.0,4,2,2,1,1,5,11.59909398685727,4,2,2,2,1,0,0,2,42.0,6
2,30990,2,4.0,0,2,2,1,0,5,10.341419850781794,4,1,1,2,0,2,0,1,12.0,6
4,60799,2,12.0,0,2,2,1,0,5,11.015328620450578,4,2,2,2,0,2,0,2,36.0,6
2,102900,2,18.0,5,2,2,0,1,5,11.54151292182214,4,2,0,2,1,4,0,1,54.0,8
4,54990,2,8.0,0,2,2,1,1,5,10.91490662950186,4,1,2,2,1,0,0,2,24.0,6
0,38249,2,8.0,0,2,2,0,0,5,10.551872695122077,4,2,0,2,0,2,0,1,24.0,6
5,43990,2,12.0,3,2,2,1,0,5,10.691717614342766,4,2,2,2,0,2,0,0,36.0,6
6,54990,2,12.0,4,2,2,1,0,5,10.91490662950186,4,2,2,2,0,2,0,1,36.0,6
6,15990,3,12.0,3,0,4,0,0,0,9.679718805828,2,1,1,2,1,1,0,1,36.0,2
6,102990,2,12.0,1,2,3,0,0,5,11.542387175119847,8,2,2,2,0,2,1,1,36.0,6
2,53990,2,12.0,0,2,3,0,0,5,10.896554123212333,6,1,2,1,3,2,1,1,24.0,8
5,36990,2,8.0,3,2,2,1,0,5,10.5184028848265,4,2,2,2,0,2,0,0,24.0,6
4,24900,0,4.0,0,2,0,0,0,1,10.1226230824528,0,1,2,0,1,1,0,2,4.0,2
8,49990,2,16.0,4,2,2,0,0,5,10.819578264407616,4,2,2,2,1,4,0,0,48.0,8
9,129900,2,12.0,4,2,2,0,1,5,11.77452020265869,4,2,2,2,2,0,0,3,36.0,3
4,50790,2,8.0,0,2,2,0,0,5,10.83545476379529,4,2,2,1,0,2,0,2,16.0,6
4,106590,0,16.0,1,2,3,0,0,5,11.576744977683182,8,2,0,0,0,2,1,2,16.0,6
4,38990,2,8.0,0,2,2,0,0,5,10.571060481976644,4,1,2,2,0,2,0,2,24.0,6
4,103990,0,16.0,1,2,3,0,0,5,11.552050019654278,8,2,0,0,0,2,1,2,16.0,6
0,32490,0,8.0,4,2,0,0,0,5,10.388687628663146,0,1,2,0,0,2,0,1,8.0,6
2,16490,2,12.0,0,2,2,0,0,5,9.710509415553645,4,1,1,2,2,2,0,1,36.0,2
4,33690,2,8.0,0,2,2,1,0,5,10.424956336400598,4,1,2,2,0,1,0,2,24.0,3
0,60999,2,12.0,0,2,3,0,0,5,11.018612749578452,6,2,2,2,0,2,1,1,36.0,6
8,40990,2,12.0,0,2,2,1,0,5,10.621083413498384,4,2,2,2,0,2,0,0,36.0,6
2,81990,0,16.0,1,2,3,0,0,5,11.314352567590223,7,2,2,0,3,2,1,1,16.0,8
4,59990,2,12.0,0,2,3,0,0,5,11.00193316064714,6,1,2,2,0,2,1,2,36.0,6
8,27990,2,8.0,2,2,2,1,1,5,10.2396025825095,4,2,2,2,1,4,0,0,24.0,8
6,94190,0,16.0,1,2,0,0,1,5,11.453069297816862,0,2,0,0,1,4,0,1,16.0,8
4,54990,0,12.0,1,2,3,0,0,5,10.91490662950186,6,1,2,0,0,2,1,2,12.0,6
4,34990,2,8.0,0,2,2,1,0,5,10.462817585361734,4,1,2,2,0,1,0,2,24.0,3
0,29990,0,12.0,0,2,0,0,0,5,10.308619271743057,0,1,2,0,1,1,0,1,12.0,2
5,29990,2,8.0,3,2,2,1,0,5,10.308619271743057,4,1,2,2,1,0,0,0,24.0,6
2,89650,2,20.0,1,2,3,0,0,5,11.40366847903328,7,2,0,2,0,2,1,1,60.0,6
4,70490,2,12.0,0,2,2,1,0,5,11.16322613476792,4,2,0,2,0,2,0,2,36.0,6
7,110990,2,16.0,1,2,3,0,0,5,11.617195386146026,8,2,0,2,3,2,1,2,48.0,8
7,97990,2,16.0,0,2,3,0,0,5,11.492620711629865,8,2,2,2,0,2,1,2,48.0,6
7,45990,2,12.0,0,2,3,0,0,5,10.73617926053397,3,2,2,1,0,2,1,2,24.0,6
6,104990,2,12.0,1,2,3,0,0,5,11.561620386508986,8,2,2,2,0,2,1,1,36.0,6
